,source,id,url,filepath,link-to-filepath,sector,file-id for wayback(siwei)
0,crux,14,https://postmaster.t-online.de/aup.en.html,0014-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0014-current.txt,technology,
1,crux,40,https://trust.kahoot.com/acceptable-use-policy/,0040-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0040-current.txt,learning tool,
2,crux,43,https://aws.amazon.com/aup/,0043-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0043-current.txt,technology,
3,crux,156,https://stackoverflow.com/legal/acceptable-use-policy,0156-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0156-current.txt,technology,
4,crux,301,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1137343/dwp-acceptable-use-policy-version-3.pdf,0301-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0301-current.txt,government,
5,crux,354,https://explore.zoom.us/en/trust/zoom-phone-acceptable-use-policy/,0354-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0354-current.txt,technology,
6,crux,585,https://www.slideshare.net/gfair3/acceptable-use-policy-18802628,0585-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0585-current.txt,schools,
7,crux,586,https://help.nexusmods.com/article/114-api-acceptable-use-policy,0586-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0586-current.txt,gaming,
8,crux,838,https://learn.microsoft.com/en-us/legal/intune/acceptable-use-policy-for-microsoft-intune,0838-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/0838-current.txt,technology,
9,crux,1028,https://www.figma.com/aup/,1028-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1028-current.txt,design,
10,crux,1091,https://www.xfinity.com/corporate/customers/policies/highspeedinternetaup,1091-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1091-current.txt,technology,
11,crux,1145,https://about.gitlab.com/handbook/people-group/acceptable-use-policy/,1145-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1145-current.txt,technology,
12,crux,1296,https://www.autotrader.co.zm/acceptable-use-policy,1296-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1296-current.txt,automobile,
13,crux,1350,https://www.dell.com/learn/us/en/uscorp1/terms-conditions/acceptable-use-policy,1350-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1350-current.txt,technology,
14,crux,1657,https://slack.com/acceptable-use-policy,1657-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1657-current.txt,technology,
15,crux,1706,https://www.cbssports.com/info/about/tos/aup,1706-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1706-current.txt,entertainment,
16,crux,1710,https://dev.epicgames.com/en-US/services/terms/aup,1710-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1710-current.txt,gaming,
17,crux,1893,https://testbook.com/acceptable-use-policy,1893-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/1893-current.txt,learning tool,
18,crux,2060,https://explore.zoom.us/en/trust/contactcenter-acceptable-use-policy/,2060-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/2060-current.txt,technology,
19,crux,2111,https://about.realestate.com.au/acceptable-use-policy-residential/,2111-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/2111-current.txt,real estate,
20,crux,2510,https://quickbooks.intuit.com/ca/payments/legal-documents/canada-acceptable-use-policy-2017/,2510-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/2510-current.txt,finance,
21,crux,2553,https://cdn.auth0.com/website/legals/files/aup-feb-20.pdf?_ga=2.145244535.270615629.1602600152-1580183395.1598368988,2553-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/2553-current.txt,technology,
22,crux,2661,https://wise.com/acceptable-use-policy,2661-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/2661-current.txt,finance/technology,
23,crux,3041,https://www.schools.nyc.gov/about-us/policies/internet-acceptable-use-policy,3041-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/3041-current.txt,schools,
24,crux,3045,https://security-guidance.service.justice.gov.uk/acceptable-use-policy/,3045-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/3045-current.txt,,
25,crux,3080,https://www.digitalspy.com/tech/cable/a2368/ntl-clarifies-acceptable-use-policy/,3080-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/3080-current.txt,,
26,crux,3352,https://www.shopify.com/legal/aup,3352-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/3352-current.txt,,
27,crux,3839,https://www.dexerto.com/acceptable-use-policy/,3839-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/3839-current.txt,,
28,crux,5524,https://www.cricketwireless.com/legal-info/acceptable-use-policy.html,5524-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/5524-current.txt,,
29,crux,6215,https://pronto.io/acceptable-use-policy/,6215-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/6215-current.txt,,
30,crux,6236,https://zapier.com/legal/acceptable-use-policy,6236-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/6236-current.txt,,
31,crux,6688,https://www.virginmedia.com/legal/acceptable-use-policy,6688-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/6688-current.txt,,
32,crux,7081,https://live.dovetailgames.com/legal/acceptable-use-policy,7081-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/7081-current.txt,,
33,crux,7094,https://math.stackexchange.com/legal/acceptable-use-policy,7094-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/7094-current.txt,,
34,crux,7287,https://it.rutgers.edu/scarletapps/acceptable-use-policy/,7287-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/7287-current.txt,,
35,crux,7289,https://www.vodafone.co.uk/terms-and-conditions/consumer/mobile/pay-as-you-go/acceptable-use-policy/,7289-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/7289-current.txt,,
36,crux,7346,https://location.foursquare.com/legal/terms/aup/,7346-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/7346-current.txt,,
37,crux,7705,https://www.matalan.co.uk/corporate/acceptable-use-policy.list,7705-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/7705-current.txt,,
38,crux,8546,https://accessories.three.co.uk/pages/acceptable-use-policy,8546-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/8546-current.txt,,
39,crux,8628,https://pandora.tghn.org/acceptable-use-policy/,8628-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/8628-current.txt,,
40,crux,8643,https://www.smartsheet.com/legal/acceptable-use-policy,8643-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/8643-current.txt,,
41,crux,9139,https://www.squarespace.com/acceptable-use-policy,9139-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/9139-current.txt,,
42,crux,9864,https://www.topcashback.co.uk/acceptable-use-policy/,9864-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/9864-current.txt,,
43,crux,9999,https://www.nine.ch/en/acceptable-use-policy,9999-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/9999-current.txt,,
44,googlesearch,4,https://slack.com/acceptable-use-policy,004-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/004-current.txt,,
45,googlesearch,13,https://www.wilbursmithbooks.com/acceptable-use-policy,013-current.txt,https://github.com/kyeling/cse256-aup-project/tree/main/data/final_data/013-current.txt,,
